WeekDay,Period,NSW_Price,NSW_Demand,Vic_Price,VIC_Demand,Transfer,Class
2,0.085106,0.042482,0.251116,0.003467,0.422915,0.414912,DOWN
2,0.14893599999999999,0.041161,0.152782,0.003467,0.422915,0.414912,DOWN
2,0.8510639999999999,0.041041,0.446296,0.003467,0.422915,0.414912,DOWN
3,0.021277,0.05644299999999999,0.41089,0.003467,0.422915,0.414912,UP
3,0.276596,0.051489,0.393038,0.003467,0.422915,0.414912,UP
3,0.46808500000000003,0.042482,0.49181800000000003,0.003467,0.422915,0.414912,DOWN
3,0.48936199999999996,0.044374000000000004,0.48690900000000004,0.003467,0.422915,0.414912,DOWN
4,0.042553,0.051489,0.39928600000000003,0.003467,0.422915,0.414912,UP
4,0.14893599999999999,0.041041,0.16245199999999999,0.003467,0.422915,0.414912,DOWN
4,0.276596,0.047106,0.403451,0.003467,0.422915,0.414912,UP
4,0.29787199999999997,0.046956,0.40776599999999996,0.003467,0.422915,0.414912,UP
4,0.42553199999999997,0.046956,0.520976,0.003467,0.422915,0.414912,UP
4,0.680851,0.042482,0.45046099999999994,0.003467,0.422915,0.414912,DOWN
5,0.0,0.07586799999999999,0.459833,0.003467,0.422915,0.414912,UP
5,0.12766,0.073976,0.18729500000000002,0.003467,0.422915,0.414912,UP
5,0.617021,0.14966400000000002,0.45670900000000003,0.003467,0.422915,0.414912,UP
5,0.680851,0.06626,0.441684,0.003467,0.422915,0.414912,DOWN
6,0.06383,0.072835,0.30452199999999996,0.003467,0.422915,0.414912,DOWN
6,0.12766,0.046956,0.152633,0.003467,0.422915,0.414912,DOWN
6,0.170213,0.046956,0.11083,0.003467,0.422915,0.414912,DOWN
6,0.382979,0.080581,0.42353500000000005,0.003467,0.422915,0.414912,DOWN
6,0.46808500000000003,0.072145,0.38262399999999996,0.003467,0.422915,0.414912,DOWN
6,0.510638,0.072145,0.354508,0.003467,0.422915,0.414912,DOWN
6,0.5319149999999999,0.047256,0.337102,0.003467,0.422915,0.414912,DOWN
6,0.574468,0.072145,0.313746,0.003467,0.422915,0.414912,DOWN
6,0.829787,0.047256,0.351532,0.003467,0.422915,0.414912,DOWN
6,0.87234,0.047256,0.30943200000000004,0.003467,0.422915,0.414912,DOWN
7,0.21276599999999998,0.063889,0.06426699999999999,0.003467,0.422915,0.414912,UP
7,0.255319,0.06241699999999999,0.09074700000000001,0.003467,0.422915,0.414912,UP
7,0.446809,0.047256,0.345582,0.003467,0.422915,0.414912,DOWN
7,0.46808500000000003,0.07169400000000001,0.337251,0.003467,0.422915,0.414912,UP
7,0.702128,0.047256,0.263761,0.003467,0.422915,0.414912,DOWN
7,0.9148940000000001,0.047106,0.25245500000000004,0.003467,0.422915,0.414912,DOWN
1,0.021277,0.047106,0.247694,0.003467,0.422915,0.414912,DOWN
1,0.085106,0.046956,0.154865,0.003467,0.422915,0.414912,DOWN
1,0.19148900000000002,0.046806,0.11053299999999999,0.003467,0.422915,0.414912,DOWN
1,0.340426,0.155878,0.46533800000000003,0.003467,0.422915,0.414912,UP
1,0.553191,0.10475,0.47857799999999995,0.003467,0.422915,0.414912,UP
1,0.617021,0.13105,0.467718,0.003467,0.422915,0.414912,UP
1,0.723404,0.209229,0.591639,0.003467,0.422915,0.414912,UP
1,0.744681,0.194548,0.6515920000000001,0.003467,0.422915,0.414912,UP
1,0.765957,0.193287,0.629575,0.003467,0.422915,0.414912,UP
1,0.893617,0.10928299999999999,0.42799799999999993,0.003467,0.422915,0.414912,UP
2,0.10638299999999999,0.046956,0.236686,0.003467,0.422915,0.414912,DOWN
2,0.14893599999999999,0.06241699999999999,0.16736099999999998,0.003467,0.422915,0.414912,DOWN
2,0.31914899999999996,0.179596,0.5058020000000001,0.003467,0.422915,0.414912,UP
2,0.382979,0.179596,0.558762,0.003467,0.422915,0.414912,UP
2,0.702128,0.179596,0.540762,0.003467,0.422915,0.414912,UP
3,0.021277,0.12171300000000002,0.459387,0.003467,0.422915,0.414912,DOWN
3,0.31914899999999996,0.193287,0.525588,0.003467,0.422915,0.414912,UP
3,0.5319149999999999,0.089798,0.481702,0.003467,0.422915,0.414912,DOWN
3,0.680851,0.089798,0.463106,0.003467,0.422915,0.414912,DOWN
3,0.744681,0.203525,0.645492,0.003467,0.422915,0.414912,UP
3,0.9574469999999999,0.13105,0.464296,0.003467,0.422915,0.414912,UP
3,0.978723,0.134622,0.48765200000000003,0.003467,0.422915,0.414912,UP
4,0.46808500000000003,0.107752,0.537043,0.003467,0.422915,0.414912,DOWN
4,0.702128,0.12171300000000002,0.557126,0.003467,0.422915,0.414912,UP
4,0.9361700000000001,0.12171300000000002,0.47738800000000003,0.003467,0.422915,0.414912,UP
5,0.042553,0.111024,0.43394799999999994,0.003467,0.422915,0.414912,UP
5,0.23404299999999997,0.12171300000000002,0.246504,0.003467,0.422915,0.414912,UP
5,0.446809,0.149634,0.545076,0.003467,0.422915,0.414912,UP
5,0.87234,0.076498,0.464743,0.003467,0.422915,0.414912,DOWN
6,0.085106,0.044104000000000004,0.280571,0.003467,0.422915,0.414912,DOWN
6,0.170213,0.044104000000000004,0.132996,0.003467,0.422915,0.414912,DOWN
6,0.765957,0.10826199999999998,0.5373399999999999,0.003467,0.422915,0.414912,UP
7,0.10638299999999999,0.044104000000000004,0.1385,0.003467,0.422915,0.414912,DOWN
7,0.170213,0.06518,0.081077,0.003467,0.422915,0.414912,DOWN
7,0.19148900000000002,0.06518,0.073639,0.003467,0.422915,0.414912,DOWN
7,0.361702,0.084064,0.315977,0.003467,0.422915,0.414912,UP
7,0.702128,0.071664,0.34930100000000003,0.003467,0.422915,0.414912,DOWN
7,0.9574469999999999,0.07932,0.352871,0.003467,0.422915,0.414912,UP
1,0.0,0.044104000000000004,0.322821,0.003467,0.422915,0.414912,DOWN
1,0.021277,0.043983,0.28771199999999997,0.003467,0.422915,0.414912,DOWN
1,0.340426,0.11973099999999999,0.5241,0.003467,0.422915,0.414912,UP
1,0.46808500000000003,0.16209300000000001,0.524249,0.003467,0.422915,0.414912,UP
1,0.48936199999999996,0.11973099999999999,0.517554,0.003467,0.422915,0.414912,UP
1,0.510638,0.11973099999999999,0.5058020000000001,0.003467,0.422915,0.414912,UP
1,0.574468,0.11973099999999999,0.48780100000000004,0.003467,0.422915,0.414912,UP
1,0.659574,0.11973099999999999,0.46920600000000007,0.003467,0.422915,0.414912,UP
1,0.702128,0.137294,0.52291,0.003467,0.422915,0.414912,UP
2,0.0,0.121652,0.47203199999999995,0.003467,0.422915,0.414912,UP
2,0.19148900000000002,0.081122,0.165278,0.003467,0.422915,0.414912,DOWN
2,0.29787199999999997,0.044224,0.47158599999999995,0.003467,0.422915,0.414912,DOWN
2,0.6382979999999999,0.12270299999999999,0.45879200000000003,0.003467,0.422915,0.414912,UP
2,0.765957,0.12843800000000002,0.6840229999999999,0.003467,0.422915,0.414912,UP
3,0.10638299999999999,0.044224,0.29128200000000004,0.003467,0.422915,0.414912,DOWN
3,0.19148900000000002,0.081122,0.190866,0.003467,0.422915,0.414912,DOWN
3,0.29787199999999997,0.044224,0.511455,0.003467,0.422915,0.414912,DOWN
3,0.42553199999999997,0.143539,0.602648,0.003467,0.422915,0.414912,UP
3,0.5319149999999999,0.12483499999999999,0.507736,0.003467,0.422915,0.414912,UP
3,0.574468,0.12483499999999999,0.48988400000000004,0.003467,0.422915,0.414912,UP
3,0.595745,0.098775,0.483487,0.003467,0.422915,0.414912,DOWN
3,0.765957,0.12570599999999998,0.7017260000000001,0.003467,0.422915,0.414912,UP
3,0.808511,0.12570599999999998,0.63731,0.003467,0.422915,0.414912,UP
4,0.085106,0.081122,0.328771,0.003467,0.422915,0.414912,DOWN
4,0.170213,0.044043,0.175989,0.003467,0.422915,0.414912,DOWN
4,0.680851,0.044134,0.46533800000000003,0.003467,0.422915,0.414912,DOWN
4,0.723404,0.095773,0.5874739999999999,0.003467,0.422915,0.414912,UP
4,0.9148940000000001,0.044104000000000004,0.426659,0.003467,0.422915,0.414912,DOWN
5,0.0,0.095773,0.47828000000000004,0.003467,0.422915,0.414912,UP
5,0.48936199999999996,0.095473,0.514877,0.003467,0.422915,0.414912,UP
5,0.553191,0.044224,0.47976800000000003,0.003467,0.422915,0.414912,DOWN
5,0.574468,0.044224,0.47069300000000003,0.003467,0.422915,0.414912,DOWN
5,0.659574,0.044224,0.445403,0.003467,0.422915,0.414912,DOWN
5,0.787234,0.095473,0.588069,0.003467,0.422915,0.414912,UP
5,0.87234,0.095473,0.48066099999999995,0.003467,0.422915,0.414912,UP
5,0.9574469999999999,0.124204,0.467272,0.003467,0.422915,0.414912,UP
6,0.19148900000000002,0.081122,0.12897899999999998,0.003467,0.422915,0.414912,DOWN
6,0.31914899999999996,0.12270299999999999,0.366706,0.003467,0.422915,0.414912,UP
6,0.42553199999999997,0.15698900000000002,0.466528,0.003467,0.422915,0.414912,UP
6,0.553191,0.09093899999999999,0.33516799999999997,0.003467,0.422915,0.414912,DOWN
6,0.595745,0.09093899999999999,0.30125,0.003467,0.422915,0.414912,DOWN
6,0.723404,0.20910900000000002,0.47113999999999995,0.003467,0.422915,0.414912,UP
6,0.808511,0.137174,0.494644,0.003467,0.422915,0.414912,UP
7,0.29787199999999997,0.083884,0.175841,0.003467,0.422915,0.414912,DOWN
7,0.510638,0.089798,0.312258,0.003467,0.422915,0.414912,DOWN
7,0.659574,0.087426,0.24561100000000002,0.003467,0.422915,0.414912,DOWN
7,0.787234,0.12270299999999999,0.521571,0.003467,0.422915,0.414912,UP
7,0.87234,0.126606,0.436626,0.003467,0.422915,0.414912,UP
7,0.9574469999999999,0.12270299999999999,0.370723,0.003467,0.422915,0.414912,UP
